Username;Name;Gender;Party
RepValDemings;Val Demings;Female;Democratic
RepDeSaulnier;Mark DeSaulnier;Male;Democratic
RepTedDeutch;Ted Deutch;Male;Democratic
MarioDB;Mario Diaz-Balart;Male;Republican
RepDebDingell;Debbie Dingell;Female;Democratic
RepLloydDoggett;Lloyd Doggett;Male;Democratic
RepDonaldsPress;Byron Donalds;Male;Republican
USRepMikeDoyle;Mike Doyle;Male;Democratic
RepJeffDuncan;Jeff Duncan;Male;Republican
DrNealDunnFL2;Neal Dunn;Male;Republican
RepTomEmmer;Tom Emmer;Male;Republican
RepEscobar;Veronica Escobar;Female;Democratic
RepAnnaEshoo;Anna Eshoo;Female;Democratic
RepEspaillat;Adriano Espaillat;Male;Democratic
RepRonEstes;Ron Estes;Male;Republican
RepDwightEvans;Dwight Evans;Male;Democratic
RepPatFallon;Pat Fallon;Male;Republican
RepFeenstra;Randy Feenstra;Male;Republican
RepDrewFerguson;Drew Ferguson;Male;Republican
RepFischbach;Michelle Fischbach;Female;Republican
RepBrianFitz;Brian Fitzpatrick;Male;Republican
RepChuck;Chuck Fleischmann;Male;Republican
RepFletcher;Lizzie Fletcher;Female;Democratic
RepBillFoster;Bill Foster;Male;Democratic
virginiafoxx;Virginia Foxx;Female;Republican
RepLoisFrankel;Lois Frankel;Female;Democratic
RepFranklin;Scott Franklin;Male;Republican
RepRussFulcher;Russ Fulcher;Male;Republican
RepMattGaetz;Matt Gaetz;Male;Republican
RepGallagher;Mike Gallagher;Male;Republican
RepRubenGallego;Ruben Gallego;Male;Democratic
RepGaramendi;John Garamendi;Male;Democratic
RepGarbarino;Andrew Garbarino;Male;Republican
RepChuyGarcia;Jesús García;Male;Democratic
RepMikeGarcia;Mike Garcia;Male;Republican
RepSylviaGarcia;Sylvia Garcia;Female;Democratic
RepBobGibbs;Bob Gibbs;Male;Republican
RepCarlos;Carlos Giménez;Male;Republican
replouiegohmert;Louie Gohmert;Male;Republican
RepGolden;Jared Golden;Male;Democratic
RepJimmyGomez;Jimmy Gomez;Male;Democratic
RepTonyGonzales;Tony Gonzales;Male;Republican
RepJenniffer;Jenniffer González-Colón;Female;Democratic
RepGonzalez;Anthony Gonzalez;Male;Democratic
RepBobGood;Bob Good;Male;Republican
Lancegooden;Lance Gooden;Male;Republican
RepGosar;Paul Gosar;Male;Republican
RepJoshG;Josh Gottheimer;Male;Democratic
RepKayGranger;Kay Granger;Female;Republican
RepGarretGraves;Garret Graves;Male;Republican
RepAlGreen;Al Green;Male;Democratic
RepMarkGreen;Mark Green;Male;Republican
RepMTG;Marjorie Taylor Greene;Female;Republican
RepMGriffith;Morgan Griffith;Male;Republican
RepRaulGrijalva;Raul Grijalva;Male;Democratic
RepGrothman;Glenn Grothman;Male;Republican
RepMichaelGuest;Michael Guest;Male;Republican
RepGuthrie;Brett Guthrie;Male;Republican
RepJoshHarder;Josh Harder;Male;Democratic
RepHarshbarger;Diana Harshbarger;Female;Republican
RepHartzler;Vicky Hartzler;Female;Republican
RepJahanaHayes;Jahana Hayes;Female;Democratic
repkevinhern;Kevin Hern;Male;Republican
RepHerrell;Yvette Herrell;Female;Republican
